"","Species","LMA","leaf_area","seed_mass","plant_height","restr_meanCVp","mean_CVp","SLA","P50","LeafN","height","wood_density","wood_genus","Genus","wood_density_imp","Height"
"74","Quercus agrifolia",173.4761484,1045.4,2269.7278,14.42192873,NA,0.906141653902523,6.89498926,-1.72,14.12,24.02,NA,0.701260875816993,"Quercus",0.701260875816993,24.02
"75","Quercus alba",68.70919719,7186.06,3111.1077,28.27776228,NA,1.2471832168141,15.22764552,-1.38,22.02,32.86,0.63,0.701260875816993,"Quercus",0.63,32.86
"76","Quercus canariensis",107.0663812,1071.5,2258.30307361111,26.49543056,NA,1.60246463992817,15.38489023,-3.19,19.84,27.21,NA,0.701260875816993,"Quercus",0.701260875816993,27.21
"77","Quercus chrysolepis",198.8715981,4027.50093333333,3150.6031,20.12818132,NA,1.01770602283864,10.56150672,-2.57,15.54,23.44,0.7,0.701260875816993,"Quercus",0.7,23.44
"78","Quercus coccinea",91.09701083,18800,1930.4788,27.06540178,NA,1.3073206160829,14.14025195,-1.92,17.17,26.34,0.62,0.701260875816993,"Quercus",0.62,26.34
"79","Quercus douglasii",133.3405691,1145.14,4539.1578,17.50807529,1.07988405891047,1.07988405891047,10.05760628,-2.5,19.27,18.31,NA,0.701260875816993,"Quercus",0.701260875816993,18.31
"80","Quercus ilex",165.2883741,762.91,1900.9854,9.34,1.02328493649306,1.22464331221428,9.809207257,-2.79,15.97,21.82,0.82,0.701260875816993,"Quercus",0.82,21.82
"81","Quercus kelloggii",102.6420348,4225.71,4778.2914,29.66562018,NA,1.17156641318514,9.361758,-1.98,17.63,28.28,0.51,0.701260875816993,"Quercus",0.51,28.28
"82","Quercus lobata",111.2929975,2643.92,4502.9551,23.29257392,1.05912675721348,1.04402144919212,9.271936116,-2.14,20.91,24.03,NA,0.701260875816993,"Quercus",0.701260875816993,24.03
"83","Quercus mongolica",71.13159996,5682.94,1563.242,31.6227766,NA,1.07617667367521,10.61841841,-2.87,21.08,26.83,0.635518,0.701260875816993,"Quercus",0.635518,26.83
"84","Quercus montana",111.157355337195,4027.50093333333,4539,30,NA,1.31409916481831,14.69742012,-1.52,20.28,21.21,NA,0.701260875816993,"Quercus",0.701260875816993,21.21
"85","Quercus petraea",72.33548013,2985.81,579.4958,31.43850033,1.13881540627063,1.141731758678,13.70074656,-3.93,20.91,34.55,0.569825,0.701260875816993,"Quercus",0.569825,34.55
"86","Quercus phellos",84.76262908,937,904.1797,30.86909513,NA,0.72530380307078,16.20930827,-1.42,18.44,25.16,0.56,0.701260875816993,"Quercus",0.56,25.16
"87","Quercus robur",72.4981555,2991.55,3048.0211,27.07539583,0.995934310948921,1.0026023755672,10.26523212,-2.76,20.96,33.48,0.574685571428571,0.701260875816993,"Quercus",0.574685571428571,33.48
"88","Quercus rubra",67.43493694,6217.05,2696.9167,18.2853131,1.07525286978535,1.10243444129495,15.28599989,-1.95,21.83,30.98,0.56,0.701260875816993,"Quercus",0.56,30.98
