"","replicate_site","lat","lon","vpd"
"117","Chojnów Forest",52.02,21.06,0.349572368421053
"118","Scandes Mountains",63.25,12.433333,0.182576754385965
"119","Cuenca Mountains",40.030556,-1.986111,0.800274122807017
"120","Tierra del Fuego (ECC)",-54.37,-67.8749,0.240054824561404
"121","Hainich NP.",51.083333,10.45,0.315668859649123
"122","Denali NP.",63.683333,-150.416667,0.243947368421053
"123","Catalonia",41.270688,1.159032,0.618541666666667
"124","university",42.883333,-8.533333,0.422719298245614
"125","Croker Pond",31.023,-87.061,0.828146929824561
"126","Farm Forty",31.018,-87.041,0.822105263157895
"127","Blackwater River",30.843,-86.81,0.815252192982456
"128","Rattlesnake Rd.",30.678,-86.589,0.80030701754386
"129","Boondocks",30.563,-86.423,0.768870614035088
"130","Jones Center",31.249,-84.473,0.928311403508772
"131","Mount Rainier",46.7975,-121.776944,0.299353070175439
"132","Albuquerque AB4",35.25377,-106.3636,0.986578947368421
"133","Canjilon CB1",36.49465,-106.465,0.765449561403509
"134","Canjilon CB2",36.39421,-106.4936,0.798684210526316
"135","Dolores DL1",37.86136,-108.6322,0.868804824561404
"136","Dolores DL2",37.88124,-108.5926,1.03974780701754
"137","Hotchkiss HK1",38.73617,-107.6095,0.965438596491228
"138","Hotchkiss HK2",38.61957,-107.5902,0.806743421052632
"139","Montrose MT1",38.37767,-108.0695,0.876228070175439
"140","Montrose MT2",38.45162,-108.019,1.00069078947368
"141","Naturita NT1",38.12932,-108.57,1.00561403508772
"142","Naturita NT2",38.11781,-108.5043,1.01813596491228
"143","various (11 sites)",38,-108,0.703804824561403
"144","multiple (3 sites)",43.093405,-6.265678,0.419353070175439
"145","multiple (over 10) Extremadura",39.5,-6.5,0.733059210526316
"146","Icalma",-38.815722,-71.274778,0.55233552631579
"147","Batea Mahuida",-38.794944,-71.183083,0.546896929824561
"148","Rocky Mountains",47,-114.5,0.619550438596491
"149","Rukwa Region",-7,30,1.44733552631579
"150","New South Wales",-33.6,151.2,0.597796052631579
"151","Provence (3 plots) and Alps (1p)",43.3,5.8,0.551162280701754
"152","Dongling Mountains",39.960111,115.425611,0.606962719298246
"153","Dongling Mountains",39.9579,115.4251,0.606962719298246
"154","Bayerischer Wald NP.",48.960139,13.427625,0.231524122807018
"155","Blodgett Forest Research Station",38.909295,-120.662781,0.95594298245614
"156","Merikarvia",61.833333,21.516667,0.2125
"157","Cowichan Lake Experiment Station",48.728854,-123.668148,0.355690789473684
"158","Volga–Kama Zapovednik for acorns and multiple for growth",55.916667,48.716667,0.364561403508772
"159","Steamboat Mt",46.139167,-121.718056,0.408925438596491
"160","Sand Mt",44.383333,-121.921667,0.514550438596491
"161","Santiam Pass",44.415833,-121.856389,0.48656798245614
"162","multiple (4 sites)",53.2,23.3,0.314046052631579
"163","Buell Plot",35.474949,-82.661764,0.559583333333333
"164","Bike Trail",35.474949,-82.661764,0.559583333333333
"165","Burnett Gap",35.962319,-82.958177,0.617916666666667
"166","Cohutta",34.941043,-84.698646,0.650120614035088
"167","Green's Lick",35.477545,-82.644958,0.559583333333333
"168","Hurricane Gap",35.934553,-82.799234,0.558070175438596
"169","Hiawassee B",35.222319,-84.514014,0.666151315789474
"170","Hiawassee C",35.222319,-84.514014,0.666151315789474
"171","Hard Times",35.487968,-82.624596,0.585405701754386
"172","Jackson Farm",36.170878,-82.526046,0.652280701754386
"173","Jakcson Farm",36.170878,-82.526046,0.652280701754386
"174","Mill Ridge",36.01197,-82.635513,0.508179824561404
"175","Old Gate",35.474949,-82.661764,0.559583333333333
"176","Rice Pinnacle",35.519455,-82.629083,0.593662280701754
"177","South Ridge",35.470444,-82.636501,0.559583333333333
"178","Tallulah",34.925891,-83.543629,0.543969298245614
"179","Tellico",35.444316,-84.088237,0.627291666666667
"180","Work Center",35.474949,-82.661764,0.559583333333333
"181","3 north populations",45.5,-84.69,0.429002192982456
"182","3 south populations",42.4,-83.92,0.464967105263158
"183","Mount Norikura",36.117652,137.629997,0.319265350877193
"184","Canberra (BFG experiment)",-35.35,148.933333,0.65483552631579
"185","Ontario",45.25,-78.566667,0.280970394736842
"186","Tanana River (Fairbanks)",64.783333,-147.733333,0.301864035087719
"187","Sedgwick Reserve",34.7,-120.033333,1.0461951754386
"188","Valsain (low plot)",40.857556,-4.039483,0.55202850877193
"189","Valsain (high plot)",40.857614,-4.052376,0.561535087719298
"190","two plots",40.857614,-4.052376,0.561535087719298
"191","1008",47.54,7.54,0.388782894736842
"192","1010",47.52,7.5,0.383859649122807
"193","1015",47.48,7.72,0.381688596491228
"194","1019",47.39,7.78,0.331633771929825
"195","1023",47.43,7.9,0.340383771929825
"196","1034",47.41,7.56,0.345043859649123
"197","1037",47.38,7.85,0.331853070175439
"198","1039",47.18,7.65,0.384912280701754
"199","1042",47.43,7.59,0.349517543859649
"200","1051",47.56,8.34,0.365438596491228
"201","1053",47.27,8.36,0.384901315789474
"202","1061",47.62,8.55,0.376962719298246
"203","1065",47.51,8.74,0.380811403508772
"204","1067",47.48,8.69,0.367949561403509
"205","1069",47.42,8.59,0.39968201754386
"206","1070",47.39,8.57,0.402214912280702
"207","1071",47.33,8.5,0.369632675438597
"208","1074",47.29,8.89,0.371030701754386
"209","1080",47.42,8.65,0.391217105263158
"210","1086",47.14,8.51,0.354725877192982
"211","1098",46.96,7.4,0.384133771929825
"212","1104",46.65,7.75,0.358870614035088
"213","1107",46.89,7.76,0.348388157894737
"214","1116",47.57,8.98,0.363541666666667
"215","1118",46.73,7.27,0.324429824561404
"216","1198",46.97,8.36,0.402752192982456
"217","1201",47.2,8.9,0.400076754385965
"218","1009",47.54,7.52,0.388782894736842
"219","1046",47.58,7.9,0.395614035087719
"220","1054",47.27,8.36,0.384901315789474
"221","1062",47.62,8.54,0.37422149122807
"222","1064",47.52,8.5,0.384353070175439
"223","1068",47.48,8.68,0.367949561403509
"224","1075",47.29,8.89,0.371030701754386
"225","1079",47.42,8.46,0.39797149122807
